~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2008.84120          -999.25000             0.87764           305.63977           305.63977           603.57672           603.57672           113.38647            69.45869
          2008.99360          -999.25000             0.89702           304.33023           304.33023           596.00012           596.00012           117.00356            67.64596
          2009.14600          -999.25000             0.91013           300.94437           300.94437           590.22723           590.22723           117.70737            65.83460
          2009.29840          -999.25000             0.90273           299.64038           299.64038           584.69263           584.69263           119.35848            49.61349
          2009.45080          -999.25000             0.90019           300.90375           300.90375           582.88245           582.88245           114.91791            24.23512
          2009.60320          -999.25000             0.90022           300.12650           300.12650           586.13092           586.13092           116.77483            12.67417
          2009.75560          -999.25000             0.91395           298.95935           298.95935           586.35974           586.35974           123.86485            11.44967
          2009.90800          -999.25000             0.92332           298.83484           298.83484           584.43573           584.43573           124.19621            16.69340
          2010.06040          -999.25000             0.91936           297.06836           297.06836           581.43427           581.43427           121.58231            24.54889
          2010.21280          -999.25000             0.91047           297.39972           297.39972           578.98230           578.98230           126.16370            33.30729
          2010.36520          -999.25000             0.91312           300.40076           300.40076           577.96021           577.96021           126.72902            42.75143
          2010.51760          -999.25000             0.91844           297.63165           297.63165           578.78827           578.78827           120.93868            46.35793
          2010.67000          -999.25000             0.93230           295.12451           295.12451           576.76001           576.76001           114.23683            44.58006
          2010.82240          -999.25000             0.91827           295.70621           295.70621           576.23865           576.23865           119.46467            42.22692
          2010.97480          -999.25000             0.89919           296.54068           296.54068           581.52625           581.52625           122.31605            45.30886
          2011.12720          -999.25000             0.91248           298.98596           298.98596           587.01044           587.01044           121.48999            47.21607
          2011.27960          -999.25000             0.91094           303.17654           303.17654           589.50110           589.50110           118.68801            46.40435
          2011.43200          -999.25000             0.90850           305.68692           305.68692           594.31909           594.31909           113.28198            47.54166
          2011.58440             0.61720             0.91891           306.73520           306.73520           598.55872           598.55872           117.26471            52.81849
          2011.73680             0.43231             0.91869           309.34592           309.34592           603.73035           603.73035           118.22137            57.51773
          2011.88920             0.78092             0.91110           314.33948           314.33948           607.11237           607.11237           117.08082            56.68441
          2012.04160             0.80986             0.89930           312.67514           312.67514           606.25238           606.25238           118.87167            40.45958
          2012.19400          -999.25000             0.87854           306.61646           306.61646           605.32806           605.32806           122.66470            45.03043
          2012.34640          -999.25000             0.85026           307.08176           307.08176           603.01398           603.01398           116.64967            34.85295
          2012.49880          -999.25000             0.84169           307.28091           307.28091           599.00983           599.00983           110.40679            19.54557
          2012.65120          -999.25000             0.86089           305.91837           305.91837           595.42975           595.42975           115.60545            21.76932
          2012.80360          -999.25000             0.87438           306.04901           306.04901           590.79443           590.79443           116.65845            26.79350
          2012.95600          -999.25000             0.90545           308.01755           308.01755           587.67480           587.67480           113.06215            33.39108
          2013.10840          -999.25000             0.91561           311.29419           311.29419           588.38165           588.38165           111.71561            33.70690
          2013.26080          -999.25000             0.92648           309.66916           309.66916           588.46735           588.46735           112.09705            22.89619
          2013.41320          -999.25000             0.90345           306.11340           306.11340           590.56598           590.56598           120.40050            16.18699
          2013.56560             0.81680             0.89523           306.91580           306.91580           593.62805           593.62805           122.02435            16.15306
          2013.71800             0.80429             0.91487           306.90329           306.90329           594.00500           594.00500           119.97655            26.01950
          2013.87040             0.77803             0.90093           307.30991           307.30991           604.38495           604.38495           121.72203            33.07452
          2014.02280             0.78771             0.92569           307.81525           307.81525           615.81116           615.81116           112.19949            36.75873
          2014.17520             0.77963             0.93318           311.40375           311.40375           623.84888           623.84888           114.20535            38.80280
          2014.32760             0.78263          -999.25000           309.29672           309.29672           631.69885           631.69885           123.50256            39.33961
          2014.48000             0.80626          -999.25000           305.70721           305.70721           632.50397           632.50397           122.74537            41.19212
          2014.63240             0.82576          -999.25000           302.37296           302.37296           619.24005           619.24005           120.94919            42.10482
          2014.78480             0.85251          -999.25000           302.18216           302.18216           610.81000           610.81000           120.77240            39.37191
          2014.93720             0.87001          -999.25000           302.69101           302.69101           611.47693           611.47693           121.49863            36.04200
          2015.08960          -999.25000          -999.25000           304.93652           304.93652           614.91815           614.91815           119.06145            36.23066
          2015.24200          -999.25000             0.85025           304.34607           304.34607           609.59918           609.59918           115.50201            39.83912
          2015.39440          -999.25000          -999.25000           300.54538           300.54538           616.09204           616.09204           113.92184            49.67070
          2015.54680          -999.25000          -999.25000           297.14078           297.14078           613.16766           613.16766           112.70340            54.88340
          2015.69920          -999.25000          -999.25000           289.82022           289.82022           609.43512           609.43512           107.28325            53.00826
          2015.85160          -999.25000          -999.25000           284.36542           284.36542           618.31531           618.31531           102.92694            51.82299
          2016.00400          -999.25000          -999.25000           290.17267           290.17267           632.97821           632.97821           105.88982            53.30453
          2016.15640          -999.25000          -999.25000           294.79626           294.79626           643.51770           643.51770           109.58131            49.92557
          2016.30880          -999.25000          -999.25000           292.34442           292.34442           654.07404           654.07404           112.16931            43.13107
          2016.46120          -999.25000          -999.25000           295.32242           295.32242           656.11627           656.11627           121.27624            38.91064
          2016.61360          -999.25000          -999.25000           301.36874           301.36874           640.33502           640.33502           125.53894            36.37023
          2016.76600          -999.25000          -999.25000           303.14304           303.14304           620.73248           620.73248           122.18245            35.65334
          2016.91840          -999.25000          -999.25000           303.65536           303.65536           616.30219           616.30219           121.19102            35.52727
          2017.07080          -999.25000          -999.25000           303.91095           303.91095           626.18628           626.18628           116.22906            37.56849
          2017.22320          -999.25000          -999.25000           296.60211           296.60211           620.51599           620.51599           106.10706            43.30311
          2017.37560          -999.25000             0.95538           301.06122           301.06122           599.29572           599.29572           106.66187            47.75307
          2017.52800          -999.25000             0.95576           305.15326           305.15326           585.29480           585.29480           110.57474            46.41535
          2017.68040          -999.25000             0.92253           303.58435           303.58435           583.65295           583.65295           111.33076            43.56619
          2017.83280          -999.25000             0.89153           302.38071           302.38071           580.86127           580.86127           111.86491            44.22522
          2017.98520             0.76701             0.91015           306.88004           306.88004           588.42181           588.42181           105.44376            46.80430
          2018.13760             0.82007             0.94845           319.26956           319.26956           610.46893           610.46893           109.42029            46.02358
          2018.29000             0.83430             0.94109           336.11224           336.11224           621.73798           621.73798           119.15572            41.63891
          2018.44240             0.79760             0.94460           337.08957           337.08957           630.52423           630.52423           121.87430            38.33080
          2018.59480             0.76578             0.94750           329.53888           329.53888           636.28918           636.28918           120.40683            38.57948
          2018.74720             0.73556             0.93415           323.98163           323.98163           631.49103           631.49103           122.79102            36.84741
          2018.89960             0.72808          -999.25000           316.69574           316.69574           629.41504           629.41504           123.36768            35.88143
          2019.05200             0.72818          -999.25000           310.22638           310.22638           637.64008           637.64008           123.32246            36.12680
          2019.20440             0.77112          -999.25000           301.34146           301.34146           640.18005           640.18005           124.40330            44.43898
          2019.35680             0.80801          -999.25000           301.35660           301.35660           632.67395           632.67395           121.73456            59.38764
          2019.50920          -999.25000             0.87713           303.55008           303.55008           611.69226           611.69226           118.44470            64.28725
          2019.66160          -999.25000             0.85822           305.85239           305.85239           595.07642           595.07642           112.03645            66.14810
          2019.81400          -999.25000             0.83100           304.59860           304.59860           591.08911           591.08911           111.24159            59.82420
          2019.96640          -999.25000             0.82888           299.58493           299.58493           600.14465           600.14465           115.67928            52.07578
          2020.11880          -999.25000          -999.25000           290.04208           290.04208           604.31769           604.31769           114.59838            47.22052
          2020.27120          -999.25000          -999.25000           284.83740           284.83740           595.21881           595.21881           106.68078            39.49962
          2020.42360          -999.25000          -999.25000           288.15826           288.15826           592.76892           592.76892           110.16389            35.85637
          2020.57600          -999.25000          -999.25000           296.28470           296.28470           610.10608           610.10608           112.78381            34.34301
          2020.72840             0.76703          -999.25000           304.33243           304.33243           620.60101           620.60101           114.41117            35.36204
          2020.88080             0.75152          -999.25000           309.65170           309.65170           628.12085           628.12085           119.38190            39.33254
          2021.03320             0.75286          -999.25000           313.63806           313.63806           640.13721           640.13721           117.51576            42.53072
          2021.18560             0.74133             0.89239           312.16415           312.16415           641.91547           641.91547           110.49337            44.32373
          2021.33800             0.78217             0.89258           313.41901           313.41901           629.89026           629.89026           108.73273            38.17318
          2021.49040             0.78951             0.85854           315.31668           315.31668           621.97949           621.97949           112.40140            30.50094
          2021.64280             0.79666             0.81059           316.28857           316.28857           613.43250           613.43250           110.65667            27.69926
