DEPTH,SWOB,STOR,RPM,SPPA,SMSE,TFLO,ECD,Formation,ROP5
2517.7378,9.3775,20.3102,123,16905.19,8.1951,3504.648,1465.371,Dawson Canyon Formation,77.5527
2518.8423,7.8783,20.6762,124,16875.54,9.0624,3505.557,1465.461,Dawson Canyon Formation,69.5287
2519.9023,4.3753,19.9305,125,17138.09,7.515,3527.133,1465.561,Dawson Canyon Formation,65.0638
2521.0972,8.7173,24.2827,125,17222.76,12.7964,3521.758,1466.334,Dawson Canyon Formation,64.3084
2522.2595,8.5695,24.1471,124,17341,10.7308,3537.922,1467.113,Dawson Canyon Formation,68.7214
2523.2446,5.0584,22.4795,124,17348.11,9.5827,3548.71,1467.231,Dawson Canyon Formation,61.4697
2524.3818,7.3942,23.8353,125,17408.02,11.1227,3544.206,1467.314,Dawson Canyon Formation,63.9505
2525.6033,9.5745,20.6898,123,17435.53,7.5812,3550.489,1467.376,Dawson Canyon Formation,72.1016
2526.7498,8.8691,20.7847,124,17416.71,10.4432,3556.811,1468.862,Dawson Canyon Formation,70.838
2527.8171,8.2708,21.544,123,17466.7,10.1155,3554.994,1468.608,Dawson Canyon Formation,64.7312
2528.9556,8.8684,23.0082,124,17485.24,10.512,3560.407,1467.987,Dawson Canyon Formation,67.0596
2529.9285,7.6163,22.9269,123,17456.49,10.9912,3546.022,1469.514,Dawson Canyon Formation,60.0795
2531.1133,9.5572,23.7946,124,17462.01,10.3081,3543.297,1469.233,Dawson Canyon Formation,66.4513
2532.2944,9.1815,21.449,123,17502.96,9.0319,3560.407,1470.358,Dawson Canyon Formation,72.0442
2533.3403,8.2512,22.0592,124,17496.76,10.2238,3556.811,1470.11,Dawson Canyon Formation,65.157
2533.7053,1.9037,14.5615,124,17433.26,15.9171,3568.47,1470.023,Dawson Canyon Formation,39.5399
2533.8943,0.1136,12.1075,125,17446.29,22.9423,3559.499,1468.925,Dawson Canyon Formation,21.4137
2534.1304,2.4154,11.7956,123,17416.43,77.6939,3558.59,1469.22,Dawson Canyon Formation,16.2875
