~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2461.73480             0.79625             0.89209           315.70093           315.70093           638.70483           638.70483           117.74911            17.43858
          2461.88720             0.78499             0.88806           315.00388           315.00388           637.51093           637.51093           117.96815            18.11238
          2462.03960             0.77371             0.89347           315.66696           315.66696           635.89685           635.89685           120.61054            18.40064
          2462.19200             0.80663             0.89978           316.26819           316.26819           633.81421           633.81421           121.60888            17.89270
          2462.34440             0.83124             0.90464           316.41928           316.41928           632.03571           632.03571           122.04443            17.81805
          2462.49680             0.83327             0.92049           315.81317           315.81317           632.31116           632.31116           121.75658            18.70214
          2462.64920             0.84528             0.92756           315.03094           315.03094           632.61230           632.61230           120.25420            18.12744
          2462.80160             0.84675             0.93396           313.80182           313.80182           632.84772           632.84772           116.73138            17.36145
          2462.95400             0.83733             0.93662           312.45612           312.45612           631.32782           631.32782           111.40306            17.68016
          2463.10640             0.82179             0.94010           311.17108           311.17108           629.36603           629.36603           108.41211            17.97246
          2463.25880             0.82358             0.93857           310.22650           310.22650           627.31067           627.31067           109.07751            18.58706
          2463.41120             0.83938             0.93076           310.39957           310.39957           624.08582           624.08582           110.75356            17.42099
          2463.56360             0.84183             0.92419           310.34174           310.34174           621.56897           621.56897           112.00850            16.48485
          2463.71600             0.82152             0.93226           310.97742           310.97742           619.78015           619.78015           111.06820            17.01888
          2463.86840             0.82046             0.93735           311.65686           311.65686           619.18500           619.18500           107.98148            18.07812
          2464.02080             0.82149             0.93294           311.87460           311.87460           619.08228           619.08228           105.49009            18.24109
          2464.17320             0.80336             0.92276           311.20190           311.20190           618.78406           618.78406           105.54835            18.94328
          2464.32560             0.78098             0.92719           309.62640           309.62640           619.56201           619.56201           110.86143            20.65006
          2464.47800             0.77785             0.93269           307.54266           307.54266           621.01666           621.01666           119.40652            20.20636
          2464.63040             0.78041             0.93765           305.98883           305.98883           623.26862           623.26862           124.67519            20.09218
          2464.78280             0.77679             0.94853           305.98004           305.98004           625.41736           625.41736           124.19363            20.39181
          2464.93520             0.78659             0.94563           309.48557           309.48557           627.43372           627.43372           120.21892            20.73593
          2465.08760             0.80816             0.94087           314.64795           314.64795           629.22314           629.22314           114.58374            12.90347
          2465.24000             0.81284             0.95471           319.32297           319.32297           631.14886           631.14886           108.50965            13.27321
